"AN";"PD";"CR";"LA";"BY";"IP";"RE";"CO";"NS";"KW";"WC";"HD"
"284";"AFNWS00020080502e452000ea";2008-05-02;"";"Anglais";"by Muyibi Amoda";"africa | agricultural | bank | business | canada | community | economy | energy | environment | equity | europe | france | gasoline | government | guinea | imf | investment | japan | local | market | media | military | money | netherlands | niger | nigeria | norway | oil | oil+and+gas | partnership | pipeline | policy | politics | poverty | president | security | switzerland | training | war | world+bank";"nigea  africaz  devgcoz  dvpcoz  wafrz ";"";"gdip  gsec  gcat  gcns  gpir ";"nigea  africaz  devgcoz  dvpcoz  wafrz   gdip  gsec  gcat  gcns  gpir ";2421;"The Imperative of Getting It Right in the Niger-Delta"
"285";"AFNWS00020080128e41s00108";2008-01-28;"";"Anglais";"by Sifelani Tsiko";"africa | agricultural | agriculture | asia | chemicals | community | conference | corporate | crops | environment | ethiopia | expansion | farmers | farming | fisheries | food | foundation | grain | health | investment | israel | kenya | livestock | maize | mali | men | mexico | money | mozambique | plant | policy | poverty | productivity | research | revenue | rice | sales | science | security | technology | training | unions | water | women";"israel  kenya  mali  mex  africaz  asiaz  camz  devgcoz  dvpcoz  eafrz  lamz  meastz  medz  namz  wafrz  wasiaz ";"";"gpov  gcat  gcom  gsoc ";"israel  kenya  mali  mex  africaz  asiaz  camz  devgcoz  dvpcoz  eafrz  lamz  meastz  medz  namz  wafrz  wasiaz   gpov  gcat  gcom  gsoc ";1461;"'New Project Will Worsen Poverty' [opinion]"
"286";"AFNWS00020071217e3ch000c1";2007-12-17;"";"Anglais";"by Sifelani Tsiko";"acquisition | africa | agricultural | agriculture | arable | argentina | automotive | biodiesel | bolivia | brazil | california | conference | corn | crops | economy | energy | engineering | ethanol | europe | expansion | farmers | farming | fisheries | food | fossil+fuel | grain | indonesia | industrial | investment | local | maize | malaysia | mali | market | money | oil | plant | policy | politics | poverty | prices | recipe | research | science | security | sugar | technology | venture+capital | zimbabwe";"arg  bol  braz  mali  zimbab  africaz  devgcoz  dvpcoz  lamz  samz  souafrz  wafrz ";"";"genv  gcat ";"arg  bol  braz  mali  zimbab  africaz  devgcoz  dvpcoz  lamz  samz  souafrz  wafrz   genv  gcat ";1843;"Myths of Agro-Fuels Boom [opinion]"
"287";"AFNWS00020070903e393000kq";2007-09-03;"";"Anglais";"by Caroline Wafula";"africa | asia | canada | conference | homosexual | kenya | marriage | new+hampshire | north+america | sex | uganda | unions | woman";"cana  kenya  uganda  africaz  devgcoz  dvpcoz  eafrz  namz ";"";"grel  gcat  gcom ";"cana  kenya  uganda  africaz  devgcoz  dvpcoz  eafrz  namz   grel  gcat  gcom ";1027;"Anglicans And Episcopal Church Pull Apart Over Gay Issue"
"288";"AFNWS00020070129e31t000n8";2007-01-29;"";"Anglais";"";"africa | local | switzerland";"switz  eurz  weurz ";"";"gglblz  gcat  gcom  gglobe ";"switz  eurz  weurz   gglblz  gcat  gcom  gglobe ";302;"What Forum Was All About"
"289";"AFNWS00020060925e29o000gt";2006-09-24;"";"Anglais";"by Grace Mugabe";"hotel | nigeria | rwanda";"sudan  vcan  nigea  africaz  devgcoz  dvpcoz  eafrz  eurz  wafrz  weurz ";"";"grel  gcat  gcom ";"sudan  vcan  nigea  africaz  devgcoz  dvpcoz  eafrz  eurz  wafrz  weurz   grel  gcat  gcom ";289;"Prelates Vow On Peace Advocacy"
"290";"AFNWS00020060921e29k000ej";2006-09-20;"";"Anglais";"by Grace Mugabe in Kigali City";"aids | community | hiv | hotel | nigeria | poverty | property | rwanda";"rwanda  nigea  africaz  devgcoz  dvpcoz  eafrz  wafrz ";"";"";"rwanda  nigea  africaz  devgcoz  dvpcoz  eafrz  wafrz   ";310;"Premier Makuza Hails Visiting Religious Leaders"
"291";"AFNWS00020060824e28o000um";2006-08-24;"";"Anglais";"by Thalif Deen";"africa | aids | airline | algeria | angola | benin | burkina+faso | burundi | canada | cape+verde | china | college | commodity | comoros | conference | currency | debt | denmark | embargo | energy | finance | foundation | gnp | gross+national+product | haiti | hiv | indonesia | iran | kuwait | lebanon | liberia | luxembourg | malawi | mali | mexico | nepal | new_york | norway | oil | oil+and+gas | opec | petroleum | politics | poverty | president | prices | qatar | rwanda | saudi+arabia | sierra+leone | somalia | standards | structural | sweden | trade | university | venezuela | war | washington";"alg  angol  cana  china  comor  den  liber  lux  mali  mex  norw  qatar  somal  swed  usa  ven  africaz  asiaz  benluxz  camz  chinaz  devgcoz  dvpcoz  eafrz  easiaz  eecz  eurz  gulfstz  lamz  meastz  medz  nafrz  namz  nordz  samz  scandz  souafrz  wafrz  wasiaz  weurz ";"comnf Common Fund (Westport, CT)";"gdev  gcat  gdip  gpir ";"alg  angol  cana  china  comor  den  liber  lux  mali  mex  norw  qatar  somal  swed  usa  ven  africaz  asiaz  benluxz  camz  chinaz  devgcoz  dvpcoz  eafrz  easiaz  eecz  eurz  gulfstz  lamz  meastz  medz  nafrz  namz  nordz  samz  scandz  souafrz  wafrz  wasiaz  weurz  comnf Common Fund (Westport, CT) gdev  gcat  gdip  gpir ";1144;"Fraction of Oil Profits Sought for Poorest Nations"
"292";"AFNWS00020051025e1ao0001k";2005-10-24;"";"Anglais";"";"africa | agricultural | agriculture | australia | brazil | caribbean | chad | commodity | conference | cotton | cotton+producers | exercise | expansion | export | farmers | gdp | hong+kong | india | legal | machinery | mali | market | note | president | prices | products | tariff | trade | world+trade+organization";"austr  braz  mali  usa  usdc  africaz  ausnz  devgcoz  dvpcoz  lamz  namz  samz  use  wafrz ";"";"wto  gtrade  efairt  e51  ecat  gcat  gdip  gpir  ocat ";"austr  braz  mali  usa  usdc  africaz  ausnz  devgcoz  dvpcoz  lamz  namz  samz  use  wafrz   wto  gtrade  efairt  e51  ecat  gcat  gdip  gpir  ocat ";3084;"Cotton Producers Demand Results"
"293";"AFNWS00020050131e11v0010x";2005-01-31;"";"Anglais";"by Mwangi Githahu";"africa | aids | asia | canada | children | conference | egypt | homosexual | ireland | kenya | new+hampshire | nigeria | poverty | president | singapore | south+africa | unions | war | zambia";"kenya  cana  egypt  nigea  singp  africaz  asiaz  devgcoz  dvpcoz  eafrz  meastz  medz  nafrz  namz  seasiaz  wafrz ";"";"grel  gcat  gcom ";"kenya  cana  egypt  nigea  singp  africaz  asiaz  devgcoz  dvpcoz  eafrz  meastz  medz  nafrz  namz  seasiaz  wafrz   grel  gcat  gcom ";908;"Homosexuality: Church in Africa Not United"
"294";"AFNWS00020031128dzbh002dx";2003-11-17;"";"Anglais";"by Amos Safo";"africa | agricultural | agriculture | asia | bank | brazil | britain | caribbean | china | community | cotton | european+union | farmers | france | germany | ghana | government | import | india | investment | iraq | japan | liberalization | market | mexico | milk | nafta | nigeria | peru | policy | politics | russia | security | singapore | south+africa | south+korea | thailand | trade | unions | washington+dc | world+bank";"";"";"apec  e51  e512  eec  gdip  wto  ecat  gcat  ocat ";"  apec  e51  e512  eec  gdip  wto  ecat  gcat  ocat ";1655;"EU Blackmails African Negotiators"
"295";"AFNWS00020030923dz9n000xd";2003-09-23;"";"Anglais";"";"";"hkong  nigea  safr  africaz  asiaz  china  chinaz  devgcoz  dvpcoz  easiaz  souafrz  wafrz ";"";"grel  c132  c13  ccat  gcat ";"hkong  nigea  safr  africaz  asiaz  china  chinaz  devgcoz  dvpcoz  easiaz  souafrz  wafrz   grel  c132  c13  ccat  gcat ";1472;"Akinola Attacks Ndungane Over Gay Remarks."
"296";"afnws00020030321dz3l004ha";2003-03-21;"";"Anglais";"";"";"africaz  angol  asiaz  burma  chil  devgcoz  eafrz  easiaz  ethpa  gulfstz  iraq  jap  lamz  liber  meastz  medz  safr  samz  seasiaz  souafrz  syria  wafrz  wasiaz ";"";"c13  c42  ccat  gcat  gdip  gedu  genv  gpol  grisk  gvio ";"africaz  angol  asiaz  burma  chil  devgcoz  eafrz  easiaz  ethpa  gulfstz  iraq  jap  lamz  liber  meastz  medz  safr  samz  seasiaz  souafrz  syria  wafrz  wasiaz   c13  c42  ccat  gcat  gdip  gedu  genv  gpol  grisk  gvio ";1254;"Where is America Headed?"
